item_id,warehouse,gender,item_category,brand_tier_group,listing_price,item_listing_date,item_purchase_date,item_accepted_or_rejected,merch_station_time,itemization_station_time,photo_station_time,qa_time
67196270,DC02,women,Tops & Blouses & Shirts,3-Premium,15.99,2020-02-13,,accepted,18,31,40,0
65399275,DC03,women,Dresses,1-Value,,,,rejected,12,56,0,0
66721413,DC03,women,Shorts,2-Mass,35.99,2020-02-06,,accepted,42,151,139,4
65740043,DC03,women,Sweaters,1-Value,16.99,2020-01-23,2020-01-25,accepted,37,39,96,2
66135269,DC04,women,Shoes,2-Mass,29.99,2020-01-29,,accepted,39,46,104,0
67050116,DC03,women,Tops & Blouses & Shirts,1-Value,20.99,2020-02-12,,accepted,21,55,39,7
67009420,DC05,women,One Piece,1-Value,23.99,2020-02-12,,accepted,46,117,129,0
66224653,DC04,women,Active Tops,1-Value,8.99,2020-01-30,,accepted,18,26,46,0
66081963,DC04,women,Overalls,1-Value,23.99,2020-01-28,2020-01-29,accepted,46,61,66,11
64901238,DC05,women,Tops & Blouses & Shirts,1-Value,,,,rejected,22,44,71,0
66348463,DC05,women,Coats & Jackets,2-Mass,28.99,2020-01-31,2020-02-04,accepted,33,43,70,0
66539806,DC02,women,,1-Value,,,,rejected,45,14,0,0
64933798,DC05,women,Skirts & Skorts,1-Value,,,,rejected,23,27,0,0
66315818,DC05,women,Active Tops,1-Value,8.99,2020-01-31,,accepted,19,49,40,0
66533005,DC04,women,Dresses,1-Value,17.99,2020-02-04,2020-02-05,accepted,24,28,54,0
65753560,DC03,kids,Pants,,,,,rejected,14,19,0,0
64829779,DC04,women,Sweaters,1-Value,10.99,2020-01-08,,accepted,32,28,52,0
65481371,DC05,women,Tees & Tanks,1-Value,11.99,2020-01-17,,accepted,23,39,47,0
66793532,DC05,kids,Sweaters,,6.99,2020-02-07,,accepted,93,36,26,0
64847798,DC02,women,Coats & Jackets,2-Mass,33.99,2020-01-08,,accepted,24,33,125,0
67262084,DC03,women,Sweatshirts & Fleece,1-Value,,,,accepted,20,155,51,0
65472041,DC05,women,Jeans,2-Mass,13.99,2020-01-17,,accepted,28,64,58,0
66722276,DC02,kids,Active Pants,,,,,rejected,18,121,0,0
64814145,DC04,women,Dresses,1-Value,14.99,2020-01-08,2020-01-10,accepted,15,45,101,0
64833684,DC02,women,Tees & Tanks,2-Mass,11.99,2020-01-08,2020-01-10,accepted,18,167,52,0
64895549,DC02,women,Dresses,1-Value,17.99,2020-01-08,,accepted,32,55,22,0
66789274,DC02,women,Pants,2-Mass,14.99,2020-02-07,,accepted,22,47,44,0
66334179,DC04,women,,1-Value,,,,rejected,40,30,0,0
65401895,DC04,women,Dresses,1-Value,29.99,2020-01-17,,accepted,53,46,94,0
64829464,DC04,women,Skirts & Skorts,4-Designer,42.99,2020-01-09,,accepted,11,61,60,0
65177188,DC05,women,Tees & Tanks,2-Mass,27.99,2020-01-14,,accepted,25,46,29,0
66949638,DC03,women,Dresses,1-Value,29.99,2020-02-09,,accepted,26,57,56,0
65520439,DC04,women,Tees & Tanks,2-Mass,7.99,2020-01-17,,accepted,14,26,32,0
64864390,DC05,women,Dresses,3-Premium,44.99,2020-01-08,2020-01-25,accepted,43,135,46,0
66322207,DC04,women,Dresses,2-Mass,16.99,2020-01-31,2020-02-03,accepted,14,36,70,0
66966681,DC05,women,Sweaters,1-Value,14.99,2020-02-09,,accepted,24,36,44,0
66359912,DC05,women,Active Pants,2-Mass,22.99,2020-01-31,,accepted,44,68,43,0
65307934,DC05,kids,Jeans,2-Mass,14.99,2020-01-17,,accepted,69,38,29,0
66016810,DC02,women,Sweaters,1-Value,12.99,2020-01-25,,accepted,32,52,53,0
66401128,DC03,women,Tees & Tanks,1-Value,7.99,2020-02-01,,accepted,21,31,32,0
64760475,DC05,women,Shorts,2-Mass,10.99,2020-01-09,2020-02-12,accepted,29,52,38,0
64681217,DC02,women,Tees & Tanks,3-Premium,15.99,2020-01-04,2020-01-04,accepted,16,45,50,0
65519182,DC02,kids,Tops & Blouses & Shirts,2-Mass,7.99,2020-01-18,2020-01-27,accepted,19,19,54,0
66972385,DC05,women,Sweaters,3-Premium,16.99,2020-02-09,,accepted,28,80,91,0
66411133,DC02,kids,One Piece,1-Value,6.99,2020-02-01,2020-02-10,accepted,14,38,50,0
64903072,DC02,women,Dresses,1-Value,21.99,2020-01-08,2020-02-08,accepted,47,57,59,0
65043306,DC02,kids,Tops & Blouses & Shirts,2-Mass,11.99,2020-01-10,,accepted,55,71,39,0
65512697,DC05,kids,Tees & Tanks,2-Mass,6.99,2020-01-18,,accepted,21,48,25,0
66257008,DC04,women,Handbags,2-Mass,27.99,2020-02-04,,accepted,34,31,276,0
65716205,DC04,women,Dresses,2-Mass,40.99,2020-01-24,2020-02-07,accepted,19,52,269,0
66371646,DC05,women,Jeans,1-Value,13.99,2020-01-31,2020-02-05,accepted,20,144,55,0
67110206,DC05,women,Tops & Blouses & Shirts,1-Value,12.99,2020-02-13,,accepted,21,43,38,0
66716510,DC02,kids,Active Pants,2-Mass,19.99,2020-02-06,2020-02-07,accepted,24,28,33,0
65042632,DC02,women,Dresses,2-Mass,16.99,2020-01-10,2020-01-11,accepted,45,32,97,0
67044907,DC02,kids,Tops & Blouses & Shirts,,4.99,2020-02-11,,accepted,36,27,85,0
66442804,DC05,women,Shoes,2-Mass,25.99,2020-02-03,,accepted,38,86,49,0
66786455,DC03,women,Tees & Tanks,1-Value,9.99,2020-02-06,2020-02-07,accepted,15,114,39,0
66314454,DC05,kids,Tops & Blouses & Shirts,1-Value,,,,rejected,29,19,0,0
65797971,DC02,women,Headwear,1-Value,10.99,2020-01-23,,accepted,78,66,31,0
67049055,DC04,women,Active Tops,2-Mass,15.99,2020-02-11,,accepted,21,32,30,0
66577677,DC02,women,Tops & Blouses & Shirts,2-Mass,14.99,2020-02-04,,accepted,22,31,60,0
65893834,DC04,kids,Headwear,2-Mass,11.99,2020-01-24,,accepted,38,83,21,0
67083934,DC04,women,Pants,2-Mass,11.99,2020-02-12,,accepted,20,58,120,0
65791147,DC04,women,Active Tops,2-Mass,8.99,2020-01-23,2020-01-25,accepted,17,24,24,0
66335962,DC03,women,Tops & Blouses & Shirts,4-Designer,36.99,2020-01-31,,accepted,29,41,54,13
65015302,DC02,kids,Tees & Tanks,,,,,rejected,30,29,0,0
66679997,DC03,women,Skirts & Skorts,3-Premium,14.99,2020-02-04,,accepted,21,46,52,5
67225459,DC05,women,Handbags,2-Mass,,,,accepted,18,49,117,0
66777421,DC05,women,Swim,1-Value,,,,rejected,29,38,0,0
66475530,DC02,women,Sweaters,3-Premium,21.99,2020-02-01,,accepted,25,32,27,0
64956073,DC02,women,Tops & Blouses & Shirts,1-Value,12.99,2020-01-09,,accepted,17,48,29,0
66391387,DC04,women,Shorts,4-Designer,17.99,2020-02-01,,accepted,13,44,28,0
66014190,DC03,women,Sweaters,1-Value,10.99,2020-01-25,2020-02-05,accepted,18,33,29,0
66242508,DC02,women,Sweaters,1-Value,8.99,2020-01-30,,accepted,37,329,50,0
66724871,DC02,kids,Sweaters,1-Value,,,,rejected,39,33,0,0
66352718,DC04,kids,Coats & Jackets,1-Value,14.99,2020-01-31,,accepted,22,370,286,0
66736912,DC04,women,Tops & Blouses & Shirts,2-Mass,11.99,2020-02-06,,accepted,12,29,26,0
66684560,DC04,women,Handbags,3-Premium,79.99,2020-02-06,,accepted,41,32,226,0
65521941,DC04,women,Shorts,1-Value,5.99,2020-01-17,,accepted,21,35,44,0
65512316,DC02,women,Wallet,4-Designer,,,,rejected,21,113,0,0
65831735,DC02,women,Sweaters,1-Value,16.99,2020-01-23,,accepted,71,47,114,0
65479219,DC04,kids,Leggings,,5.99,2020-01-17,2020-01-18,accepted,26,30,39,0
66001833,DC02,women,Shoes,4-Designer,67.99,2020-01-28,,accepted,31,58,98,0
66625839,DC02,women,Sweaters,2-Mass,13.99,2020-02-05,,accepted,26,48,122,0
66655655,DC05,women,Dresses,3-Premium,16.99,2020-02-05,,accepted,24,91,35,0
66359009,DC04,women,,,,,,rejected,33,0,0,0
65750748,DC02,women,Boots,4-Designer,112.99,2020-01-23,,accepted,20,96,25,0
67022996,DC04,women,Pants,3-Premium,28.99,2020-02-11,,accepted,49,70,44,0
65989937,DC04,women,Pants,1-Value,,,,rejected,27,43,0,0
66161476,DC05,women,Skirts & Skorts,3-Premium,18.99,2020-01-29,,accepted,33,60,124,0
65862867,DC05,women,Tops & Blouses & Shirts,1-Value,11.99,2020-01-26,,accepted,38,37,53,0
66319628,DC02,women,Dresses,2-Mass,19.99,2020-01-31,,accepted,21,45,75,0
65601036,DC05,women,Jeans,2-Mass,12.99,2020-01-18,2020-01-18,accepted,30,69,47,0
66904983,DC02,women,Dresses,1-Value,19.99,2020-02-08,,accepted,28,29,81,0
65852107,DC02,women,Belts,1-Value,5.99,2020-01-24,,accepted,23,28,53,0
67072390,DC04,women,Jeans,3-Premium,12.99,2020-02-12,,accepted,36,40,36,0
66495344,DC02,women,Tops & Blouses & Shirts,3-Premium,17.99,2020-02-01,,accepted,63,56,17,0
66067668,DC02,kids,Active Pants,,5.99,2020-01-29,,accepted,31,37,33,0
65400443,DC05,women,Jeans,1-Value,16.99,2020-01-17,2020-01-18,accepted,39,56,119,0
66814641,DC05,women,Tees & Tanks,1-Value,33.99,2020-02-07,,accepted,18,61,173,0
67302000,DC05,women,Swim,3-Premium,,,,rejected,31,122,66,0
65260501,DC03,women,Tops & Blouses & Shirts,2-Mass,8.99,2020-01-14,,accepted,16,38,57,0
65804554,DC03,women,Dresses,1-Value,10.99,2020-01-23,,accepted,43,93,89,6
66308289,DC03,women,Tees & Tanks,1-Value,8.99,2020-01-31,,accepted,21,38,141,0
65673899,DC05,women,Pants,2-Mass,15.99,2020-01-22,,accepted,23,54,89,0
65405887,DC05,women,Scarves & Wraps,1-Value,6.99,2020-01-17,,accepted,36,47,34,0
64694005,DC02,women,Tops & Blouses & Shirts,3-Premium,14.99,2020-01-03,,accepted,18,43,77,0
66902777,DC02,women,Shorts,2-Mass,35.99,2020-02-08,,accepted,29,48,29,0
66283352,DC05,women,Leggings,2-Mass,6.99,2020-01-30,,accepted,24,50,104,0
65687408,DC02,women,Tees & Tanks,1-Value,9.99,2020-01-19,2020-01-19,accepted,38,40,69,0
65723618,DC04,women,Dresses,4-Designer,71.99,2020-01-24,,accepted,38,88,104,0
67310897,DC02,women,Tees & Tanks,1-Value,,,,accepted,58,33,81,0
66210613,DC04,women,Tops & Blouses & Shirts,1-Value,23.99,2020-01-31,,accepted,25,28,32,0
67288673,DC03,women,Dresses,1-Value,19.99,2020-02-13,,accepted,20,59,45,0
65693178,DC05,kids,Coats & Jackets,1-Value,13.99,2020-01-22,,accepted,20,33,57,0
67347492,DC05,women,Shoes,1-Value,,,,rejected,37,0,0,0
67185616,DC02,women,,2-Mass,,,,rejected,22,86,0,0
66610475,DC05,kids,Active Skirts / Skorts,1-Value,6.99,2020-02-05,,accepted,42,40,24,0
65946734,DC02,women,Boots,4-Designer,76.99,2020-01-25,,accepted,25,48,38,0
66130261,DC04,women,Dresses,1-Value,25.99,2020-01-30,,accepted,32,33,33,0
64966672,DC04,women,,1-Value,,,,rejected,12,9,0,0
65550982,DC05,women,Belts,1-Value,6.99,2020-01-19,,accepted,23,57,30,0
65039609,DC03,women,Sweaters,2-Mass,,,,rejected,24,37,0,0
66726721,DC04,women,Tops & Blouses & Shirts,3-Premium,18.99,2020-02-08,,accepted,30,27,48,0
66409425,DC05,women,,,,,,rejected,54,0,0,0
66657849,DC02,women,Sweaters,1-Value,9.99,2020-02-05,,accepted,23,30,99,0
65385608,DC05,women,Tops & Blouses & Shirts,2-Mass,20.99,2020-01-17,2020-02-03,accepted,23,38,32,0
65898252,DC02,women,Tops & Blouses & Shirts,2-Mass,20.99,2020-01-24,,accepted,18,66,35,0
64740518,DC02,women,Jeans,1-Value,14.99,2020-01-04,,accepted,36,79,30,0
65405494,DC04,women,Dresses,1-Value,13.99,2020-01-16,2020-01-17,accepted,25,42,64,0
65387850,DC05,women,Tees & Tanks,1-Value,7.99,2020-01-17,2020-01-20,accepted,42,36,30,0
67190150,DC03,women,Sweaters,1-Value,9.99,2020-02-13,,accepted,21,90,43,0
66481366,DC02,women,Tees & Tanks,3-Premium,14.99,2020-02-01,,accepted,50,52,96,0
66758281,DC05,women,Jeans,3-Premium,17.99,2020-02-07,,accepted,58,170,87,0
67119997,DC04,women,Tops & Blouses & Shirts,1-Value,,,,rejected,17,36,0,0
64732081,DC05,women,Tops & Blouses & Shirts,1-Value,16.99,2020-01-10,,accepted,34,85,91,0
65144331,DC05,kids,Pants,1-Value,6.99,2020-01-12,2020-01-15,accepted,20,23,39,0
65852394,DC05,women,Tops & Blouses & Shirts,2-Mass,11.99,2020-01-24,,accepted,30,39,46,0
65435537,DC04,women,Tops & Blouses & Shirts,1-Value,7.99,2020-01-17,,accepted,19,29,36,0
65729010,DC03,women,Active Pants,3-Premium,46.99,2020-01-22,2020-01-29,accepted,37,54,45,7
65440241,DC03,women,Tees & Tanks,3-Premium,12.99,2020-01-17,2020-01-17,accepted,16,32,75,2
65693183,DC02,women,Tops & Blouses & Shirts,3-Premium,38.99,2020-01-23,,accepted,42,35,132,0
66009076,DC02,women,Headwear,2-Mass,9.99,2020-01-28,,accepted,40,40,55,0
66245085,DC03,women,Pants,3-Premium,29.99,2020-01-31,2020-02-07,accepted,38,54,62,2
66449160,DC03,kids,Pants,,,,,rejected,24,60,0,0
65434012,DC05,women,Sweaters,3-Premium,77.99,2020-01-22,,accepted,16,38,41,0
66943744,DC03,kids,Active Pants,1-Value,9.99,2020-02-08,,accepted,25,132,49,0
67330059,DC04,women,Coats & Jackets,1-Value,,,,rejected,45,0,0,0
67251134,DC02,women,Sweaters,1-Value,,,,accepted,62,57,185,0
65151767,DC05,women,Blazers,1-Value,14.99,2020-01-11,,accepted,24,31,45,0
66155380,DC05,women,Dresses,2-Mass,12.99,2020-01-30,,accepted,34,163,83,0
66957881,DC04,women,Swim,3-Premium,22.99,2020-02-10,,accepted,24,48,125,0
66140215,DC02,women,Dresses,4-Designer,52.99,2020-01-29,,accepted,25,42,19,0
66037191,DC05,kids,Dresses,1-Value,8.99,2020-01-27,2020-02-11,accepted,13,41,35,0
65753525,DC05,kids,Sweaters,,11.99,2020-01-22,,accepted,31,49,65,0
64678829,DC03,women,,,,,,rejected,23,0,0,0
66072259,DC04,women,Active Pants,2-Mass,31.99,2020-01-30,2020-02-08,accepted,31,33,43,0
64738781,DC02,women,Handbags,1-Value,30.99,2020-01-04,,accepted,32,64,187,0
66403905,DC04,women,Tops & Blouses & Shirts,1-Value,11.99,2020-02-01,2020-02-02,accepted,27,20,49,0
66769525,DC05,women,Coats & Jackets,1-Value,15.99,2020-02-06,2020-02-08,accepted,27,51,86,0
65484174,DC03,women,Sweatshirts & Fleece,1-Value,10.99,2020-01-15,2020-01-16,accepted,34,39,218,0
65303152,DC05,women,Dresses,1-Value,11.99,2020-01-16,2020-01-26,accepted,27,53,63,0
66711998,DC03,kids,Tops & Blouses & Shirts,,,,,rejected,19,31,0,0
66053184,DC02,kids,One Piece,,5.99,2020-01-26,,accepted,20,25,50,0
66609850,DC03,women,Jeans,1-Value,8.99,2020-02-04,,accepted,21,39,49,4
67220237,DC02,women,Tops & Blouses & Shirts,1-Value,7.99,2020-02-13,,accepted,28,40,22,0
65048512,DC02,women,Dresses,1-Value,19.99,2020-01-10,2020-01-18,accepted,18,31,73,0
66465108,DC05,kids,Tees & Tanks,1-Value,,,,rejected,31,108,0,0
65475495,DC05,women,,,,,,rejected,33,0,0,0
66527293,DC05,women,Coats & Jackets,4-Designer,249.99,2020-02-07,,accepted,18,55,44,0
67082590,DC05,women,Skirts & Skorts,1-Value,,,,accepted,52,54,54,0
66171529,DC05,kids,Active Tops,2-Mass,,,,rejected,26,42,0,0
65983490,DC03,kids,Jeans,1-Value,,,,rejected,26,21,0,0
66432962,DC05,women,Tops & Blouses & Shirts,1-Value,12.99,2020-02-12,,accepted,67,69,94,0
65625057,DC03,kids,Pants,,8.99,2020-01-19,2020-02-04,accepted,22,54,44,0
64836128,DC04,kids,Tees & Tanks,3-Premium,,,,rejected,16,34,0,0
65206429,DC05,women,Pants,2-Mass,11.99,2020-01-15,,accepted,35,93,48,0
65366932,DC05,women,Dresses,3-Premium,35.99,2020-01-17,2020-01-21,accepted,29,55,47,0
65772931,DC05,women,Tees & Tanks,4-Designer,,,,rejected,13,146,0,0
64830821,DC04,women,Dresses,2-Mass,45.99,2020-01-08,,accepted,21,33,108,0
65196240,DC05,women,Tops & Blouses & Shirts,1-Value,16.99,2020-01-14,,accepted,20,38,115,0
65799262,DC02,women,Active Pants,3-Premium,,,,rejected,44,150,0,0
64946900,DC02,women,One Piece,2-Mass,18.99,2020-01-09,2020-01-10,accepted,42,38,80,0
65580871,DC02,kids,Dresses,1-Value,8.99,2020-01-18,2020-02-07,accepted,18,24,35,0
66850707,DC05,women,Vest,1-Value,16.99,2020-02-11,,accepted,37,42,47,0
65499746,DC05,women,,,,,,rejected,47,0,0,0
67011326,DC02,women,Pants,1-Value,9.99,2020-02-12,,accepted,26,74,282,0
65755830,DC05,women,Handbags,2-Mass,21.99,2020-01-24,2020-01-30,accepted,38,82,204,0
67319444,DC02,women,Shorts,2-Mass,,,,rejected,57,48,66,0
65495497,DC02,women,,2-Mass,,,,rejected,17,35,0,0
64899790,DC03,women,Tops & Blouses & Shirts,3-Premium,15.99,2020-01-09,2020-01-11,accepted,15,51,36,0
67330811,DC03,women,Active Tops,2-Mass,,,,rejected,19,29,57,2
65189953,DC03,women,Swim,1-Value,,,,rejected,91,32,0,0
65839577,DC04,women,Dresses,3-Premium,24.99,2020-01-24,,accepted,19,30,112,0
66289860,DC02,women,,,,,,rejected,119,58,0,0
67355204,DC05,women,Jeans,1-Value,,,,rejected,22,0,0,0
65975840,DC02,women,Tops & Blouses & Shirts,2-Mass,17.99,2020-01-25,2020-02-02,accepted,24,60,121,0
66810879,DC05,women,Sweaters,1-Value,13.99,2020-02-10,,accepted,27,47,49,0
65450159,DC03,women,,,,,,rejected,62,7,0,0
64995508,DC02,women,Skirts & Skorts,1-Value,22.99,2020-01-10,,accepted,23,40,256,0
66685133,DC02,women,One Piece,2-Mass,20.99,2020-02-06,,accepted,25,47,111,0
66217114,DC05,women,Scarves & Wraps,1-Value,,,,rejected,21,54,0,0
64916675,DC03,women,Swim,1-Value,12.99,2020-01-08,,accepted,17,38,117,13
67223317,DC02,women,Sweaters,1-Value,,,,accepted,68,29,21,0
64676131,DC02,women,Sweaters,2-Mass,13.99,2020-01-03,2020-01-04,accepted,53,31,93,0
66374696,DC04,women,Jeans,1-Value,,,,rejected,20,26,0,0
66231920,DC04,women,Tops & Blouses & Shirts,2-Mass,13.99,2020-01-30,,accepted,22,26,37,0
66082143,DC04,women,Dresses,2-Mass,12.99,2020-01-28,,accepted,31,111,42,0
66737681,DC04,women,Tops & Blouses & Shirts,1-Value,10.99,2020-02-06,,accepted,28,27,50,0
65473050,DC05,women,Sweaters,2-Mass,16.99,2020-01-17,,accepted,48,66,166,0
66756284,DC04,women,Sweaters,1-Value,20.99,2020-02-06,2020-02-07,accepted,11,26,28,0
65196664,DC05,women,Handbags,2-Mass,36.99,2020-01-14,2020-01-20,accepted,57,47,285,0
66504514,DC02,women,Tees & Tanks,1-Value,8.99,2020-02-01,,accepted,19,43,16,0
64782075,DC02,women,Sweaters,1-Value,9.99,2020-01-05,,accepted,29,39,80,0
65510700,DC05,kids,Tees & Tanks,2-Mass,6.99,2020-01-23,,accepted,17,20,30,0
66828831,DC04,women,,1-Value,,,,rejected,14,13,0,0
65397760,DC02,women,Jeans,2-Mass,13.99,2020-01-16,2020-01-20,accepted,41,38,26,0
66848812,DC04,women,Pants,1-Value,13.99,2020-02-08,,accepted,28,34,64,0
65200034,DC02,women,Dresses,1-Value,12.99,2020-01-14,,accepted,39,56,20,0
66065870,DC02,women,Sweaters,2-Mass,16.99,2020-01-28,,accepted,36,33,66,0
64990319,DC03,women,Dresses,3-Premium,37.99,2020-01-10,2020-01-13,accepted,26,43,29,0
67202896,DC03,women,Pants,1-Value,6.99,2020-02-13,,accepted,29,42,129,3
66570431,DC05,kids,Leggings,,5.99,2020-02-05,,accepted,23,46,31,0
65799699,DC03,women,Jeans,4-Designer,38.99,2020-01-22,2020-01-23,accepted,40,67,67,1
66476624,DC02,women,Tops & Blouses & Shirts,3-Premium,21.99,2020-02-01,,accepted,25,28,20,0
65280623,DC02,women,Jeans,2-Mass,12.99,2020-01-15,2020-01-19,accepted,26,61,262,0
66367685,DC05,women,Sweaters,1-Value,20.99,2020-01-31,,accepted,61,59,37,0
66842325,DC04,women,Skirts & Skorts,2-Mass,,,,rejected,15,46,0,0
65271880,DC02,women,Tops & Blouses & Shirts,1-Value,10.99,2020-01-14,,accepted,24,37,33,0
67316182,DC05,women,,1-Value,,,,rejected,66,34,0,0
65008724,DC04,women,Skirts & Skorts,2-Mass,15.99,2020-01-10,,accepted,21,37,68,0
65994621,DC05,women,Swim,2-Mass,8.99,2020-01-28,,accepted,46,30,31,0
66162644,DC02,women,,,,,,rejected,85,0,0,0
66034039,DC04,women,,,,,,rejected,21,16,0,0
67343816,DC02,women,Sweaters,2-Mass,,,,rejected,14,51,0,0
65195838,DC05,women,Pants,3-Premium,15.99,2020-01-12,2020-01-15,accepted,13,49,83,0
66646394,DC03,women,Tops & Blouses & Shirts,2-Mass,13.99,2020-02-05,,accepted,24,36,56,0
65165535,DC02,women,Sweaters,1-Value,13.99,2020-01-11,,accepted,20,83,43,0
65725515,DC04,women,Pants,2-Mass,10.99,2020-01-22,,accepted,17,50,52,0
66612205,DC03,women,Dresses,3-Premium,22.99,2020-02-06,2020-02-07,accepted,19,59,20,3
66419154,DC04,women,Sweaters,1-Value,20.99,2020-02-01,2020-02-01,accepted,18,31,47,0
66862444,DC05,kids,Dresses,1-Value,8.99,2020-02-07,,accepted,45,24,55,0
65811222,DC03,women,Tops & Blouses & Shirts,2-Mass,12.99,2020-01-23,,accepted,43,77,63,0
65393835,DC05,women,Shoes,2-Mass,39.99,2020-01-17,,accepted,19,107,51,0
67176265,DC02,women,Tops & Blouses & Shirts,1-Value,12.99,2020-02-12,,accepted,30,45,28,0
65228253,DC05,women,Headwear,1-Value,7.99,2020-01-14,,accepted,13,43,272,0
66716057,DC02,women,Tops & Blouses & Shirts,2-Mass,19.99,2020-02-06,,accepted,213,92,22,0
65018024,DC05,women,Tees & Tanks,1-Value,6.99,2020-01-14,,accepted,38,27,147,0
66806846,DC04,women,Pants,2-Mass,9.99,2020-02-07,,accepted,20,26,110,0
66721823,DC05,women,Sweaters,2-Mass,14.99,2020-02-06,,accepted,118,42,224,0
64776010,DC03,women,Tees & Tanks,1-Value,8.99,2020-01-07,2020-01-09,accepted,66,49,57,0
66825501,DC05,women,Dresses,1-Value,12.99,2020-02-08,,accepted,44,80,49,0
66154594,DC02,women,Sweaters,2-Mass,19.99,2020-01-30,,accepted,59,52,33,0
66706493,DC05,women,Tops & Blouses & Shirts,2-Mass,20.99,2020-02-06,,accepted,20,37,58,0
67231583,DC05,women,Tops & Blouses & Shirts,1-Value,,,,accepted,16,44,69,0
